10731-0,TINTA BULK INK EPSON E850 MAG 1LT (CX C/ 20)-.,"1,00",UN,"50,00","23,57","50,00","52,84%"
,Total :,"2,00",,"50,00","47,15","100,00","52,85%"
19.236,TINTA | INKBANK,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
12150-0,TINTA INKBANK EPSON E850/504/544 BLACK 70ML-.,"20,00",UN,"10,00","61,32","200,00","69,34%"
12151-0,TINTA INKBANK EPSON E850/504/544 CYAN 70ML-.,"5,00",UN,"10,00","15,24","50,00","69,52%"
12152-0,TINTA INKBANK EPSON E850/504/544 MAG 70ML-.,"5,00",UN,"10,00","15,15","50,00","69,70%"
12153-0,TINTA INKBANK EPSON E850/504/544 YELL 70ML-.,"5,00",UN,"10,00","15,20","50,00","69,60%"
12182-0,TINTA INKBANK UNIVERSAL ET365 BK 1L (CX C/ 20)-.,"1,00",UN,"50,00","19,36","50,00","61,28%"
,Total :,"36,00",,"11,11","126,27","400,00","68,43%"
2001.203,LONA | UNIBANNER FUNDO PRETO,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
"20115047-0LONA UNIBANNER BRILHO F.P. 300x500 380g 3,20mt-.",,"80,00",M2,"7,30","330,35","584,00","43,43%"
"20115046-0LONA UNIBANNER BRILHO F.P. 300x500 440g 3,20mt-.",,"190,00",M2,"7,99","907,31","1.518,10","40,23%"
,Total :,"270,00",,"7,79","1.237,66","2.102,10","41,12%"
2002.2001,ADESIVO | UNITRAMA,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
"2011100-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,06mt-.",,"106,00",M2,"5,50","357,63","583,00","38,66%"
"2011045-0VINIL UNIPRO UT80 ECONOMY (BV2000/NV2010) GLOSSY C/ 1,06mt-.",,"53,00",M2,"5,30","156,24","280,90","44,38%"
"2011046-0VINIL UNIPRO UT80 ECONOMY (BV2000/NV2010) GLOSSY C/ 1,27mt-.",,"63,50",M2,"4,99","188,76","316,86","40,43%"
,Total :,"222,50",,"5,31","702,63","1.180,76","40,49%"
2003.2052,ACM | UNIBOND 1.50,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
2013067-0ACM UNIBOND BRANCO ALTO BRILHO 3mm,1.50 x 5.00mt T805-.,"1,00",UN,"555,00","361,38","555,00","34,89%"
2013085-0ACM UNIBOND PRETO ALTO BRILHO 3mm 1.50 x 5.00mt T804-.,,"1,00",UN,"555,00","353,62","555,00","36,28%"
2013097-0ACM UNIBOND VERMELHO ALTO BRILHO 3mm,1.50 x 5.00mt T802-.,"3,00",UN,"555,00","1.063,57","1.665,00","36,12%"
,Total :,"5,00",,"555,00","1.778,57","2.775,00","35,91%"
2003.2053,ACM | SIGNBOND 1.22,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
2013127-0ACM SIGNBOND PRETO ALTO BRILHO 3mm 1.22 x 5.00mt T804-.,,"5,00",UN,"400,00","1.321,68","2.000,00","33,92%"
2013129-0ACM SIGNBOND VERMELHO ALTO BRILHO 3mm 1.22 x 5.00mt T802-.,,"2,00",UN,"400,00","520,67","800,00","34,92%"
,Total :,"7,00",,"400,00","1.842,36","2.800,00","34,20%"
2020.2016,CHAPA PVC | UNIPOL,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
2019103-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 10MM-.,,"4,00",UN,"169,90","381,55","679,60","43,86%"
2019111-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 15MM-.,,"2,00",UN,"260,00","283,08","520,00","45,56%"
RMOV336 - Conferências de Saídas por Divisão de Produtos,Emissão:,05/12/2025 08:59,,h,Página :,0008/,73
PB,ARARUNA,,,,,,
2020.2016,CHAPA PVC | UNIPOL,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
,Total :,"6,00",,"199,93","664,63","1.199,60","44,60%"
2030.2005,ACESSÓRIOS SIGN | FITA,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
"2015045-0FITA FUSION DUPLA FACE P/ ACM BRANCA 1,6 MM 19 X 20 MM-.",,"12,00",UN,"85,00","590,16","1.020,00","42,14%"
,Total :,"12,00",,"85,00","590,16","1.020,00","42,14%"
2030.2057,ACESSÓRIOS SIGN | SELANTE/SILICONE NEOKLON,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
13798-0,SILICONE NEOKLON NEUTRO P/ ACM 260G VERMELHO-.,"1,00",UN,"34,64","20,90","34,64","39,67%"
,Total :,"1,00",,"34,64","20,90","34,64","39,67%"
,TOTAL CIDADE:,"561,50",,,"7.010,33","11.612,10","39,63%"
RMOV336 - Conferências de Saídas por Divisão de Produtos,Emissão:,05/12/2025 08:59,,h,Página :,0009/,73
PB,AREIA,,,,,,
10.1,CARTUCHO DE TONER | HP,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
4114-0,CART. DE TONER COMP. COM PM 1105A/1107A 1K COM CHIP EVOLUT(CX C/ 15)-.,"2,00",PC,"45,00","49,60","90,00","44,89%"
3000-0,CART. DE TONER COMP. COM PM 2612 2K EVOLUT(CX C/ 20)-.,"3,00",PC,"28,00","53,07","84,00","36,82%"
3162-0,CART. DE TONER COMP. COM PM CB435/436/285/278 U 2K EVOLUT(CX C/ 20)-.,"15,00",PC,"28,00","251,48","420,00","40,12%"
,Total :,"20,00",,"29,70","354,15","594,00","40,38%"
10.113,CARTUCHO DE TONER | BROTHER,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
